zsh: Нет такого файла или каталога: ./cmd/screener-core/screener-core
2025/09/19 23:04:50 logger.go:35: 2025-09-19T23:04:50+03:00 [INFO] logger initialized, output=screner.log
2025/09/19 23:04:50 main.go:60: 2025-09-19T23:04:50+03:00 [INFO] starting Screener Core - multi-exchange with shared channel
2025/09/19 23:04:50 error reading config file: open configs/screener-core.yaml: no such file or directory
2025/09/19 23:05:19 logger.go:35: 2025-09-19T23:05:19+03:00 [INFO] logger initialized, output=screner.log
2025/09/19 23:05:19 main.go:60: 2025-09-19T23:05:19+03:00 [INFO] starting Screener Core - multi-exchange with shared channel
2025/09/19 23:05:19 client.go:16: 2025-09-19T23:05:19+03:00 [INFO] initializing Redis client: addr=localhost:6379 db=0
2025/09/19 23:05:19 main.go:70: 2025-09-19T23:05:19+03:00 [INFO] Redis client initialized: localhost:6379
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 384/582: PROVEUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 385/582: PTBUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 386/582: PUBLICUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 387/582: PUFFERUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 388/582: PUMPUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 389/582: PUMPBTCUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 390/582: PYRUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 391/582: PYTHUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 392/582: QIUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 393/582: QNTUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 394/582: QQQXUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 395/582: QUBICUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 396/582: QUICKUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 397/582: RADUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 398/582: RAREUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 399/582: RATSUSDT
2025/09/19 23:05:22 main.go:121: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribe 400/582: RAYUSDT
2025/09/19 23:05:22 main.go:129: 2025-09-19T23:05:22+03:00 [INFO] Bybit subscribed 400 symbols, pausing 150ms
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 401/582: RDNTUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 402/582: REDUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 403/582: REEFUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 404/582: REIUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 405/582: RENUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 406/582: RENDERUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 407/582: REQUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 408/582: RESUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 409/582: RESOLVUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 410/582: REXUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 411/582: REZUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 412/582: RFCUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 413/582: RHEAUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 414/582: RLCUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 415/582: ROAMUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 416/582: RONUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 417/582: RONINUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 418/582: ROSEUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 419/582: RPLUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 420/582: RSRUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 421/582: RSS3USDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 422/582: RUNEUSDT
2025/09/19 23:05:23 main.go:121: 2025-09-19T23:05:23+03:00 [INFO] Bybit subscribe 423/582: RWAUSDT
